
[detectors]
shape = (0,)
dtype = [('system_code', '<i4'), ('detector_index', '<i4'), ('x', '<f8'), ('y', '<f8'), ('z', '<f8'), ('label', 'O'), ('panel', '<i4')]
[]

[muon_truth]
shape = (100,)
dtype = [('event_id', '<i8'), ('pos_x', '<f4'), ('pos_y', '<f4'), ('pos_z', '<f4'), ('t0', '<f4'), ('dir_x', '<f4'), ('dir_y', '<f4'), ('dir_z', '<f4'), ('theta_deg', '<f4'), ('phi_deg', '<f4'), ('track_length_mm', '<f4'), ('n_generated', '<i4'), ('n_detected', '<i4'), ('n_generated_ckv', '<i4'), ('n_generated_sci', '<i4'), ('n_detected_ckv', '<i4'), ('n_detected_sci', '<i4')]
[( 0, -1200., 0.,  300., 0., 0., 1., 0., 90., 90.,  986.4279, 14850, 0, 14850, 0, 0, 0)
 ( 1, -1200., 0.,  600., 0., 0., 1., 0., 90., 90.,  986.4279, 14850, 0, 14850, 0, 0, 0)
 ( 2, -1200., 0.,  900., 0., 0., 1., 0., 90., 90.,  986.4279, 14850, 0, 14850, 0, 0, 0)
 ( 3, -1200., 0., 1200., 0., 0., 1., 0., 90., 90.,  986.4279, 14850, 0, 14850, 0, 0, 0)
 ( 4, -1200., 0., 1500., 0., 0., 1., 0., 90., 90.,  986.4279, 14850, 0, 14850, 0, 0, 0)
 ( 5, -1200., 0., 1800., 0., 0., 1., 0., 90., 90.,  986.4279, 14850, 0, 14850, 0, 0, 0)
 ( 6, -1200., 0., 2100., 0., 0., 1., 0., 90., 90.,  986.4279, 14850, 0, 14850, 0, 0, 0)
 ( 7, -1200., 0., 2400., 0., 0., 1., 0., 90., 90.,  986.4279, 14850, 0, 14850, 0, 0, 0)
 ( 8, -1200., 0., 2700., 0., 0., 1., 0., 90., 90.,  986.4279, 14850, 0, 14850, 0, 0, 0)
 ( 9,  -900., 0.,  300., 0., 0., 1., 0., 90., 90., 1291.3617, 19500, 0, 19500, 0, 0, 0)
 (10,  -900., 0.,  600., 0., 0., 1., 0., 90., 90., 1291.3617, 19500, 0, 19500, 0, 0, 0)
 (11,  -900., 0.,  900., 0., 0., 1., 0., 90., 90., 1291.3617, 19500, 0, 19500, 0, 0, 0)
 (12,  -900., 0., 1200., 0., 0., 1., 0., 90., 90., 1291.3617, 19500, 0, 19500, 0, 0, 0)
 (13,  -900., 0., 1500., 0., 0., 1., 0., 90., 90., 1291.3617, 19500, 0, 19500, 0, 0, 0)
 (14,  -900., 0., 1800., 0., 0., 1., 0., 90., 90., 1291.3617, 19500, 0, 19500, 0, 0, 0)
 (15,  -900., 0., 2100., 0., 0., 1., 0., 90., 90., 1291.3617, 19500, 0, 19500, 0, 0, 0)
 (16,  -900., 0., 2400., 0., 0., 1., 0., 90., 90., 1291.3617, 19500, 0, 19500, 0, 0, 0)
 (17,  -900., 0., 2700., 0., 0., 1., 0., 90., 90., 1291.3617, 19500, 0, 19500, 0, 0, 0)
 (18,  -600., 0.,  300., 0., 0., 1., 0., 90., 90., 1470.9657, 22200, 0, 22200, 0, 0, 0)
